"","date","id","title","polarity","type"
"54","2020-04-28","5566353","Telediario - 21 horas - 28/04/20",-0.0916313559322034,"verba"
"55","2020-04-27","5565627","Telediario - 21 horas - 27/04/20",-0.0920940170940171,"verba"
"56","2020-04-26","5564900","Telediario - 21 horas - 26/04/20",-0.0810869565217391,"verba"
"57","2020-04-25","5564473","Telediario - 15 horas - 25/04/20",-0.113622754491018,"verba"
"58","2020-04-25","5564574","Telediario - 21 horas - 25/04/20",-0.0585106382978723,"verba"
"59","2020-04-24","5564058","Telediario - 15 horas - 24/04/20",-0.0553097345132743,"verba"
"60","2020-04-24","5564291","Telediario - 21 horas - 24/04/20",-0.0844669117647059,"verba"
"61","2020-04-23","5563244","Telediario - 15 horas - 23/04/20",-0.0439262472885033,"verba"
"62","2020-04-23","5563521","Telediario - 21 horas - 23/04/20",-0.0470315398886827,"verba"
"63","2020-04-22","5562378","Telediario - 15 horas - 22/04/20",-0.0639278557114228,"verba"
"64","2020-04-22","5562649","Telediario - 21 horas - 22/04/20",-0.093313373253493,"verba"
"65","2020-04-21","5561677","Telediario - 15 horas - 21/04/20",-0.0330188679245283,"verba"
"66","2020-04-21","5561873","Telediario - 21 horas - 21/04/20",-0.041948310139165,"verba"
"67","2020-04-20","5560926","Telediario - 15 horas - 20/04/20",-0.0845572354211663,"verba"
"68","2020-04-20","5561148","Telediario - 21 horas - 20/04/20",-0.0454545454545455,"verba"
"69","2020-04-19","5560341","Telediario - 15 horas - 19/04/20",-0.0685869565217391,"verba"
"70","2020-04-19","5560447","Telediario - 21 horas - 19/04/20",-0.0548223350253807,"verba"
"71","2020-04-18","5560042","Telediario - 15 horas - 18/04/20",-0.0618571428571429,"verba"
"72","2020-04-18","5560115","Telediario - 21 horas - 18/04/20",-0.062532981530343,"verba"
"73","2020-04-17","5559573","Telediario - 15 horas - 17/04/20",-0.0996590909090909,"verba"
"74","2020-04-17","5559833","Telediario - 21 horas - 17/04/20",-0.0891472868217054,"verba"
"75","2020-04-16","5558789","Telediario - 15 horas - 16/04/20",-0.0723311546840959,"verba"
"76","2020-04-16","5559003","Telediario - 21 horas - 16/04/20",-0.0446395563770795,"verba"
"77","2020-04-15","5558083","Telediario - 15 horas - 15/04/20",-0.0954048140043764,"verba"
"78","2020-04-15","5558272","Telediario - 21 horas - 15/04/20",-0.0885586924219911,"verba"
"79","2020-04-14","5557311","Telediario - 15 horas - 14/04/20",-0.0631773399014778,"verba"
"80","2020-04-14","5557548","Telediario - 21 horas - 14/04/20",-0.0613948919449902,"verba"
"81","2020-04-13","5556615","Telediario - 15 horas - 13/04/20",-0.071875,"verba"
"82","2020-04-13","5556820","Telediario - 21 horas - 13/04/20",-0.06625,"verba"
"83","2020-04-12","5555944","Telediario - 15 horas - 12/04/20",-0.0440104166666667,"verba"
"84","2020-04-12","5556024","Telediario - 21 horas - 12/04/20",-0.0280114722753346,"verba"
"85","2020-04-11","5555620","Telediario - 15 horas - 11/04/20",-0.0841309823677582,"verba"
"86","2020-04-11","5555731","Telediario - 21 horas - 11/04/20",-0.0406488549618321,"verba"
"87","2020-04-10","5555245","Telediario - 15 horas - 10/04/20",-0.0733910891089109,"verba"
"88","2020-04-10","5555369","Telediario - 21 horas - 10/04/20",-0.0711500974658869,"verba"
"89","2020-04-09","5554722","Telediario - 15 horas - 09/04/20",-0.0530232558139535,"verba"
"90","2020-04-08","5554141","Telediario - 15 horas - 08/04/20",-0.0872262773722628,"verba"
"91","2020-04-08","5554343","Telediario - 21 horas - 08/04/20",-0.0433810375670841,"verba"
"92","2020-04-07","5553432","Telediario - 15 horas - 07/04/20",-0.0676395939086294,"verba"
"93","2020-04-07","5553649","Telediario - 21 horas - 07/04/20",-0.0792043399638336,"verba"
"94","2020-04-06","5552615","Telediario - 15 horas - 06/04/20",-0.063314447592068,"verba"
"95","2020-04-06","5552874","Telediario - 21 horas - 06/04/20",-0.063926499032882,"verba"
"96","2020-04-05","5551996","Telediario - 15 horas - 05/04/20",-0.0776515151515152,"verba"
"97","2020-04-05","5552119","Telediario - 21 horas - 05/04/20",-0.0747104247104247,"verba"
"98","2020-04-04","5551716","Telediario - 15 horas - 04/04/20",-0.0922737306843267,"verba"
"99","2020-04-04","5551844","Telediario - 21 horas - 04/04/20",-0.056056338028169,"verba"
"100","2020-04-03","5551269","Telediario - 15 horas - 03/04/20",-0.0663201663201663,"verba"
"101","2020-04-03","5551490","Telediario - 21 horas - 03/04/20",-0.0833333333333333,"verba"
"102","2020-04-02","5550613","Telediario - 15 horas - 02/04/20",-0.0885371179039301,"verba"
"103","2020-04-02","5550802","Telediario - 21 horas - 02/04/20",-0.105018939393939,"verba"
"104","2020-04-01","5549943","Telediario - 15 horas - 01/04/20",-0.0935406698564593,"verba"
"105","2020-04-01","5550138","Telediario - 21 horas - 01/04/20",-0.0965263157894737,"verba"
"106","2020-03-31","5549179","Telediario - 15 horas - 31/03/20",-0.0902709359605911,"verba"
"107","2020-03-31","5549418","Telediario - 21 horas - 31/03/20",-0.0917330677290837,"verba"
"108","2020-03-30","5548349","Telediario - 15 horas - 30/03/20",-0.049078947368421,"verba"
"109","2020-03-30","5548662","Telediario - 21 horas - 30/03/20",-0.0928308823529412,"verba"
"110","2020-03-29","5547803","Telediario - 15 horas - 29/03/20",-0.0836185819070905,"verba"
"111","2020-03-29","5547872","Telediario - 21 horas - 29/03/20",-0.0482897384305835,"verba"
"112","2020-03-28","5547490","Telediario - 15 horas - 28/03/20",-0.0825352112676056,"verba"
"113","2020-03-28","5547600","Telediario - 21 horas - 28/03/20",-0.0336538461538462,"verba"
"114","2020-03-27","5547093","Telediario - 15 horas - 27/03/20",-0.0819718309859155,"verba"
"115","2020-03-27","5547305","Telediario - 21 horas - 27/03/20",-0.0649328859060403,"verba"
"116","2020-03-26","5546322","Telediario - 15 horas - 26/03/20",-0.0758495145631068,"verba"
"117","2020-03-26","5546563","Telediario - 21 horas - 26/03/20",-0.0598949211908932,"verba"
"118","2020-03-25","5545658","Telediario - 15 horas - 25/03/20",-0.0776008492569002,"verba"
