"","X","status_id","text","user_id","screen_name","followers_count","is_retweet","retweet_count","retweet_status_id","retweet_text","retweet_user_id","retweet_screen_name","retweet_retweet_count","mentions_user_id","mentions_screen_name","media_type","media_url","urls_url","created_at","indegree","text.clean","text.lem","polarity","sentiment.anger","sentiment.anticipation","sentiment.disgust","sentiment.fear","sentiment.joy","sentiment.sadness","sentiment.surprise","sentiment.trust","sentiment.negative","sentiment.positive"
"378",462466,"x1258909512607637504","Mi Españita

\u0001F1E6\u0001F1F7 DESESCALADA
\u0001F1E6\u0001F1E8 DESESCALADA
\u0001F1E7\u0001F1EC DESESCALADA 
\u0001F1F5\u0001F1F9 DESESCALADA
\u0001F1E8\u0001F1E6 DESESCALADA 
\u0001F1E9\u0001F1EA DESESCALADA
\u0001F1EC\u0001F1E7 DESESCALADA
\u0001F1EB\u0001F1F7 DESESCALADA
\u0001F1EE\u0001F1F9 DESESCALADA 
\u0001F1EE\u0001F1F1 DESESCALADA
\u0001F1EA\u0001F1F8 Gala 1 https://t.co/6Hj0BPQtD6","x338981688","Budia95",756,TRUE,1611,"x1258787052717572103","Mi Españita

<U+0001F1E6><U+0001F1F7> DESESCALADA
<U+0001F1E6><U+0001F1E8> DESESCALADA
<U+0001F1E7><U+0001F1EC> DESESCALADA 
<U+0001F1F5><U+0001F1F9> DESESCALADA
<U+0001F1E8><U+0001F1E6> DESESCALADA 
<U+0001F1E9><U+0001F1EA> DESESCALADA
<U+0001F1EC><U+0001F1E7> DESESCALADA
<U+0001F1EB><U+0001F1F7> DESESCALADA
<U+0001F1EE><U+0001F1F9> DESESCALADA 
<U+0001F1EE><U+0001F1F1> DESESCALADA
<U+0001F1EA><U+0001F1F8> Gala 1 https://t.co/6Hj0BPQtD6","x1133818163488018433","Holaqut80980114",1611,"x1133818163488018433","Holaqut80980114","","","","2020-05-08",1380,"mi espanita ufeuff desescalada
ufeufe desescalada
ufeufec desescalada uffuff desescalada
ufeufe desescalada ufeufea desescalada
ufecufe desescalada
ufebuff desescalada
ufeeuff desescalada ufeeuff desescalada
ufeauff gala  ","mi espanita ufeuff desescalado ufeufe desescalado ufeufec desescalado uffuff desescalado ufeufe desescalado ufeufeo desescalado ufecufe desescalado ufebuff desescalado ufeeuff desescalado ufeeuff desescalado ufeauff gala",0,0,0,0,0,0,0,0,0,0,0
"379",36651,"x1258895834365808640","La informaci\u00F3n falsa te causa da\u00F1o a ti y a tu familia. \u00A1#Qu\u00E9dateEnCasa y no compartas noticias falsas! https://t.co/Olpwdwtz2U","x2740244783","AnaMJacobo",108,TRUE,610,"x1258124281487265792","La informaci<U+00F3>n falsa te causa da<U+00F1>o a ti y a tu familia. <U+00A1>#Qu<U+00E9>dateEnCasa y no compartas noticias falsas! https://t.co/Olpwdwtz2U","x132225222","SSalud_mx",610,"x132225222","SSalud_mx","","","","2020-05-08",1399,"la informaciufn falsa te causa daufo a ti y a tu familia uaquuedateencasa y no compartas noticias falsas ","el informaciufn falso tú causa daufo a tú y a tu familia uaquuedateencaso y no comparto noticia falso",0,2,0,3,0,0,0,0,0,5,1
"380",255921,"x1258789664632254465","Hay padres que entretienen a sus hijos y luego est\u00E1 Jaime. Se ha disfrazado de sus personajes favoritos junto a su hija para hacerle el confinamiento m\u00E1s llevadero.

https://t.co/fjT45P9v1B","x335883257","cagaestacas",126,TRUE,36851,"x1258788798806228993","Hay padres que entretienen a sus hijos y luego est<U+00E1> Jaime. Se ha disfrazado de sus personajes favoritos junto a su hija para hacerle el confinamiento m<U+00E1>s llevadero.

https://t.co/fjT45P9v1B","x45244838","ibonpereztv",36851,"x45244838","ibonpereztv","","","","2020-05-08",1501,"hay padres que entretienen a sus hijos y luego estue jaime se ha disfrazado de sus personajes favoritos junto a su hija para hacerle el confinamiento mues llevadero ","haber padre que entretenir a su hijo y luego estue jaime él haber disfrazar de su personaje favorito junto a su hija para NA hacer él el confinamiento mue llevadero",0,1,0,0,1,2,1,0,2,1,3
"381",462464,"x1258909529510739968","En Eurovision me toca ser España y en la desescalada Madrid. Basta, por favor.","x1082710008834506752","cclaauuddiia",35,TRUE,1957,"x1258701619753037825","En Eurovision me toca ser España y en la desescalada Madrid. Basta, por favor.","x1074674327646339072","gersanc_",1957,"x1074674327646339072","gersanc_","","","","2020-05-08",1589,"en eurovision me toca ser espana y en la desescalada madrid basta por favor","en eurovision yo tocar ser espano y en el desescalado madrid bastar por favor",0.6,0,0,0,0,0,0,0,0,0,0
"382",462551,"x1258907278465433600","- Catedrático de farmacoemidemiología de la Universidad de Oxford: el plan de desescalada en España es bueno.
- María Claver: el plan de desescalada en España es un desastre.
Yo lo tengo claro.","x3233952507","mariaos636",506,TRUE,1912,"x1258702620157521920","- Catedrático de farmacoemidemiología de la Universidad de Oxford: el plan de desescalada en España es bueno.
- María Claver: el plan de desescalada en España es un desastre.
Yo lo tengo claro.","x3143935509","marianofake",1912,"x3143935509","marianofake","","","","2020-05-08",1619," catedratico de farmacoemidemiologia de la universidad de oxford el plan de desescalada en espana es bueno
 maria claver el plan de desescalada en espana es un desastre
yo lo tengo claro","catedratico de farmacoemidemiologia de el universidad de oxford el plan de desescalado en espano ser bue mario claver el plan de desescalado en espano ser uno desastre yo él tener claro",0,1,2,1,1,0,1,1,0,1,1
"383",15654,"x1258900277748523008","\u0001F4F9Fernando Sim\u00F3n

Hemos hecho todos un esfuerzo excepcional y estamos progresando bien. Ser\u00EDa muy triste que por unos poquitos d\u00EDas de ansias de salir m\u00E1s r\u00E1pido de lo recomendable perdi\u00E9ramos todo lo que hemos ganado. 

#EsteVirusLoParamosUnidos https://t.co/O0X02AoztS","x1047955856762064897","alimoyaa",103,TRUE,2442,"x1257990802204168192","<U+0001F4F9>Fernando Sim<U+00F3>n

Hemos hecho todos un esfuerzo excepcional y estamos progresando bien. Ser<U+00ED>a muy triste que por unos poquitos d<U+00ED>as de ansias de salir m<U+00E1>s r<U+00E1>pido de lo recomendable perdi<U+00E9>ramos todo lo que hemos ganado. 

#EsteVirusLoParamosUnidos https://t.co/O0X02AoztS","x232124120","sanidadgob",2442,"x232124120","sanidadgob","","","","2020-05-08",1619,"ufffernando simufn hemos hecho todos un esfuerzo excepcional y estamos progresando bien serueda muy triste que por unos poquitos duedas de ansias de salir mues ruepido de lo recomendable perdiueramos todo lo que hemos ganado estevirusloparamosunidos ","ufffernar simufr haber hacer todo uno esfuerzo excepcional y estar progresar bien serueda mucho triste que por uno poquito dueda de ansia de salir mue ruepido de él recomendable perdiuerar todo él que haber ganar estevirusloparamosunido",0,1,2,1,2,2,6,0,1,6,5
"384",300977,"x1258889315695890432","#ÚLTIMAHORA | Detectan el primer caso de gato infectado por #coronavirus en España https://t.co/s7be4hDS37","x159600226","conchuelo111",1103,TRUE,502,"x1258681683458564099","#ÚLTIMAHORA | Detectan el primer caso de gato infectado por #coronavirus en España https://t.co/s7be4hDS37","x105082141","EFEnoticias",502,"x105082141","EFEnoticias","photo","http://pbs.twimg.com/media/EXe8TruWAAEyKha.jpg","","2020-05-08",1904,"ultimahora detectan el primer caso de gato infectado por coronavirus en espana ","ultimahora detectar el primero caso de gato infectado por coronavirus en espano",0,0,0,0,1,0,1,0,0,1,1
"385",32680,"x1258901585251512321","[Entrevista] Directora General de @Riesgos_Ec, @alexocles, ofrece entrevista en @teleamazonasec para dar a conocer las acciones llevadas a cabo por el COE-Nacional, debido a emergencia sanitaria por el #COVID19Ec \u27A1\uFE0F  https://t.co/3xSZUk9bLP

#Qu\u00E9dateEnCasa https://t.co/OtuN0YyFAR","x2698401960","JPCatamayo",572,TRUE,162,"x1258728945584934912","[Entrevista] Directora General de @Riesgos_Ec, @alexocles, ofrece entrevista en @teleamazonasec para dar a conocer las acciones llevadas a cabo por el COE-Nacional, debido a emergencia sanitaria por el #COVID19Ec <U+27A1><U+FE0F>  https://t.co/3xSZUk9bLP

#Qu<U+00E9>dateEnCasa https://t.co/OtuN0YyFAR","x303941159","Riesgos_Ec",162,"x303941159 x303941159 x215995820 x95217117","Riesgos_Ec Riesgos_Ec alexocles teleamazonasec","","","","2020-05-08",1975,"entrevista directora general de   ofrece entrevista en para dar a conocer las acciones llevadas a cabo por el coenacional debido a emergencia sanitaria por el covidec uaufef ","entrevista directora general de ofrecer entrevista en para dar a conocer el acción llevado a cabo por el coenacional deber a emergencia sanitario por el covidec uaufef",0.4,0,0,0,1,0,1,1,1,1,2
"386",121842,"x1258778506500214786","#Qu\u00E9dateEnCasa no es una ocurrencia, es la recomendaci\u00F3n de un grupo de cient\u00EDficos. Conferencia matutina. https://t.co/C1xNDtxY68","x883224091","KarinaSanchezH",271,TRUE,2817,"x1251119250833473537","#Qu<U+00E9>dateEnCasa no es una ocurrencia, es la recomendaci<U+00F3>n de un grupo de cient<U+00ED>ficos. Conferencia matutina. https://t.co/C1xNDtxY68","x82119937","lopezobrador_",2817,"x82119937","lopezobrador_","","","","2020-05-08",2014,"quuedateencasa no es una ocurrencia es la recomendaciufn de un grupo de cientuedficos conferencia matutina ","quuedateencaso no ser uno ocurrencia ser el recomendaciufn de uno grupo de cientuedfico conferencia matutino",0,0,0,0,0,0,0,0,0,1,0
"387",332534,"x1258727345663488003","\u2757 España, Italia y Portugal se alían en un frente del sur para reclamar un ingreso mínimo vital europeo  

Por @Alopezdemiguel y @ManuSanchezG 

https://t.co/XSOMK9N3vX","x3028821544","expedienteszero",165,TRUE,1461,"x1258637825651740675","<U+2757> España, Italia y Portugal se alían en un frente del sur para reclamar un ingreso mínimo vital europeo  

Por @Alopezdemiguel y @ManuSanchezG 

https://t.co/XSOMK9N3vX","x17676713","publico_es",1461,"x17676713","publico_es","","","","2020-05-08",2136,"u espana italia y portugal se alian en un frente del sur para reclamar un ingreso minimo vital europeo por y ","u espano italia y portugal él aliar en uno frente NA de el sur para reclamar uno ingreso minimo vital europeo por y",0.4,0,0,0,0,0,0,0,0,0,1
"388",407301,"x1258809901666783232","Empresas nacionales exportan test PCR para la Covid-19 porque no se los compran en España https://t.co/yskITdcZYV","x309110873","capadociados",4610,TRUE,4447,"x1255724562521763840","Empresas nacionales exportan test PCR para la Covid-19 porque no se los compran en España https://t.co/yskITdcZYV","x14436030","elmundoes",4447,"x14436030","elmundoes","","","bit.ly/3cX37mj","2020-05-08",2244,"empresas nacionales exportan test pcr para la covid porque no se los compran en espana ","empresa nacional exportar test pcr para el covid porque no él él comprar en espano",0,0,1,0,0,0,0,0,0,0,0
"389",457076,"x1258807667826532352","Ayuso: ""Todos los días hay atropellos y no por eso prohíbes los coches""

Trump: ""Los accidentes de tráfico dejan cifras de muertos mayores y no porque ocurran le decimos a la gente que no conduzca más"" https://t.co/ozfGYKFrX5","x725796962952466432","ldalmau22",79,TRUE,2634,"x1257693784453844992","Ayuso: ""Todos los días hay atropellos y no por eso prohíbes los coches""

Trump: ""Los accidentes de tráfico dejan cifras de muertos mayores y no porque ocurran le decimos a la gente que no conduzca más"" https://t.co/ozfGYKFrX5","x14436317","iescolar",2634,"x14436317","iescolar","","","","2020-05-08",2496,"ayuso todos los dias hay atropellos y no por eso prohibes los coches trump los accidentes de trafico dejan cifras de muertos mayores y no porque ocurran le decimos a la gente que no conduzca mas ","ayoner todo el dia haber atropello y no por ese prohibe el coche trump el accidente de trafico dejar cifra de muerto mayor y no porque ocurrir él decir a el gente que no conducir mas",-0.1,1,0,1,1,0,2,2,0,4,3
"390",83095,"x1258827787017826307","En la medida en que logremos la inmovilizaci\u00F3n masiva de personas en el espacio p\u00FAblico tendremos el beneficio de reducir la velocidad de transmisi\u00F3n del virus. Esta es nuestra \u00FAltima oportunidad de hacerlo ya. A las y los habitantes del pa\u00EDs les decimos: #Qu\u00E9dateEnCasa. https://t.co/DDTvJ4KKt0","x379414552","AlejoMari12",55,TRUE,23665,"x1244091798110298112","En la medida en que logremos la inmovilizaci<U+00F3>n masiva de personas en el espacio p<U+00FA>blico tendremos el beneficio de reducir la velocidad de transmisi<U+00F3>n del virus. Esta es nuestra <U+00FA>ltima oportunidad de hacerlo ya. A las y los habitantes del pa<U+00ED>s les decimos: #Qu<U+00E9>dateEnCasa. https://t.co/DDTvJ4KKt0","x1154180084078501889","HLGatell",23665,"x1154180084078501889","HLGatell","","","","2020-05-08",3114,"en la medida en que logremos la inmovilizaciufn masiva de personas en el espacio pufablico tendremos el beneficio de reducir la velocidad de transmisiufn del virus esta es nuestra ufaltima oportunidad de hacerlo ya a las y los habitantes del paueds les decimos quuedateencasa ","en el medida en que logr el inmovilizaciufn masivo de persona en el espacio pufablico tendrer el beneficio de reducir el velocidad de transmisiufn NA de el virus este ser nuestro ufaltimo oportunidad de NA hacer él ya a el y el habitante NA de el paueds él decir quuedateencasar",-0.5,0,2,0,0,0,0,1,0,2,3
"391",136422,"x1258756320955637760","Informe #COVID19: hoy procesamos 439 muestras, 67 positivos: 63 viajeros del Brasil, 3 viajeros de otros destinos y 1 contacto, todos en cuarentena obligatoria en albergues. 5 internados, 2 recuperados, sumando as\u00ED 115. Total confirmados: 333. #QuedateEnCasa @msaludpy https://t.co/HkPT0Y6Sg7","x67682418","Eliyeg",1366,TRUE,6435,"x1256394476832112645","Informe #COVID19: hoy procesamos 439 muestras, 67 positivos: 63 viajeros del Brasil, 3 viajeros de otros destinos y 1 contacto, todos en cuarentena obligatoria en albergues. 5 internados, 2 recuperados, sumando as<U+00ED> 115. Total confirmados: 333. #QuedateEnCasa @msaludpy https://t.co/HkPT0Y6Sg7","x1030099481533014017","MazzoleniJulio",6435,"x1030099481533014017","MazzoleniJulio","","","","2020-05-08",3256,"informe covid hoy procesamos  muestras  positivos  viajeros del brasil  viajeros de otros destinos y  contacto todos en cuarentena obligatoria en albergues  internados  recuperados sumando asued  total confirmados  quedateencasa ","informar covid hoy procesar muestra positivo viajero NA de el brasil viajero de otro destino y contacto todo en cuarentena obligatorio en albergue internado recuperado sumar asued total confirmado quedateencasar",0,0,2,1,3,1,1,1,2,3,3
"392",225574,"x1258908601986531334","Duque sabe lo que se le viene despu\u00E9s de salir del confinamiento, por eso invirtieron esa platica en armar al SMAD, porque nos vamos para la calle.","x187398572","breynerjaimes",680,TRUE,7415,"x1258450775027654658","Duque sabe lo que se le viene despu<U+00E9>s de salir del confinamiento, por eso invirtieron esa platica en armar al SMAD, porque nos vamos para la calle.","x142092456","JulianRoman",7415,"x142092456","JulianRoman","","","","2020-05-08",3266,"duque sabe lo que se le viene despuues de salir del confinamiento por eso invirtieron esa platica en armar al smad porque nos vamos para la calle","duque saber él que él él venir despuue de salir NA de el confinamiento por ese invirtir ese platica en armar NA a el smad porque yo ir para el calle",-0.25,1,1,0,1,0,2,0,0,1,1
"393",462474,"x1258909484291948544","Hoy a las 17h estreno de 'Gran Desescalada' #GDGala1 https://t.co/uMlo9hWLJa","x489359339","MarisolCara",172,TRUE,4248,"x1258770528510316549","Hoy a las 17h estreno de 'Gran Desescalada' #GDGala1 https://t.co/uMlo9hWLJa","x280065258","Feliu_LluisIV",4248,"x280065258","Feliu_LluisIV","photo","http://pbs.twimg.com/ext_tw_video_thumb/1258770117384601600/pu/img/gkdBvAAt_GctBCMY.jpg","","2020-05-08",3455,"hoy a las h estreno de gran desescalada gdgala ","hoy a el h estreno de gran desescalado gdgala",0,0,0,0,0,0,0,0,0,0,0
"394",120591,"x1258780240068743168","Estos d\u00EDas de #ContingenciaPositiva realiza actividades que fortalezcan la uni\u00F3n familiar, aqu\u00ED te compartimos algunas ideas. \u00A1Recuerda, #Qu\u00E9dateEnCasa! https://t.co/NOKwkcEtbx","x1257472069299666944","MariRey30147912",0,TRUE,14434,"x1249389317509840896","Estos d<U+00ED>as de #ContingenciaPositiva realiza actividades que fortalezcan la uni<U+00F3>n familiar, aqu<U+00ED> te compartimos algunas ideas. <U+00A1>Recuerda, #Qu<U+00E9>dateEnCasa! https://t.co/NOKwkcEtbx","x15946615","Edomex",14434,"x15946615","Edomex","","","","2020-05-08",3891,"estos duedas de contingenciapositiva realiza actividades que fortalezcan la uniufn familiar aquued te compartimos algunas ideas uarecuerda quuedateencasa ","este dueda de contingenciapositiva realizar actividad que fortalecer el uniufn familiar aquued tú compartir alguno idea uarecuerda quuedateencaso",0.8,0,0,0,0,0,0,0,1,0,2
