"","date","id","title","polarity"
"99",2020-04-16,"5558789","Telediario - 15 horas - 16/04/20",-0.0723311546840959
"100",2020-04-16,"5559003","Telediario - 21 horas - 16/04/20",-0.0446395563770795
"101",2020-04-15,"5558083","Telediario - 15 horas - 15/04/20",-0.0954048140043764
"102",2020-04-15,"5558272","Telediario - 21 horas - 15/04/20",-0.0885586924219911
"103",2020-04-14,"5557311","Telediario - 15 horas - 14/04/20",-0.0631773399014778
"104",2020-04-14,"5557548","Telediario - 21 horas - 14/04/20",-0.0613948919449902
"105",2020-04-13,"5556615","Telediario - 15 horas - 13/04/20",-0.071875
"106",2020-04-13,"5556820","Telediario - 21 horas - 13/04/20",-0.06625
"107",2020-04-12,"5555944","Telediario - 15 horas - 12/04/20",-0.0440104166666667
"108",2020-04-12,"5556024","Telediario - 21 horas - 12/04/20",-0.0280114722753346
"109",2020-04-11,"5555620","Telediario - 15 horas - 11/04/20",-0.0841309823677582
"110",2020-04-11,"5555731","Telediario - 21 horas - 11/04/20",-0.0406488549618321
"111",2020-04-10,"5555245","Telediario - 15 horas - 10/04/20",-0.0733910891089109
"112",2020-04-10,"5555369","Telediario - 21 horas - 10/04/20",-0.0711500974658869
"113",2020-04-09,"5554722","Telediario - 15 horas - 09/04/20",-0.0530232558139535
"114",2020-04-08,"5554141","Telediario - 15 horas - 08/04/20",-0.0872262773722628
"115",2020-04-08,"5554343","Telediario - 21 horas - 08/04/20",-0.0433810375670841
"116",2020-04-07,"5553432","Telediario - 15 horas - 07/04/20",-0.0676395939086294
"117",2020-04-07,"5553649","Telediario - 21 horas - 07/04/20",-0.0792043399638336
"118",2020-04-06,"5552615","Telediario - 15 horas - 06/04/20",-0.063314447592068
"119",2020-04-06,"5552874","Telediario - 21 horas - 06/04/20",-0.063926499032882
"120",2020-04-05,"5551996","Telediario - 15 horas - 05/04/20",-0.0776515151515152
"121",2020-04-05,"5552119","Telediario - 21 horas - 05/04/20",-0.0747104247104247
"122",2020-04-04,"5551716","Telediario - 15 horas - 04/04/20",-0.0922737306843267
"123",2020-04-04,"5551844","Telediario - 21 horas - 04/04/20",-0.056056338028169
